127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/web2py.js, HTTP/1.1, 200, 0.007746
127.0.0.1, 2017-12-23 15:44:24, GET, /MyApp/static/js/share.js, HTTP/1.1, 200, 0.004700
127.0.0.1, 2017-12-23 15:44:25, GET, /MyApp/static/images/favicon.png, HTTP/1.1, 200, 0.001411
127.0.0.1, 2017-12-23 15:44:25, GET, /MyApp/static/images/favicon.ico, HTTP/1.1, 200, 0.001332
127.0.0.1, 2017-12-23 15:44:25, GET, /MyApp/static/images/facebook.png, HTTP/1.1, 200, 0.003230
127.0.0.1, 2017-12-23 15:44:25, GET, /MyApp/static/images/twitter.png, HTTP/1.1, 200, 0.004895
127.0.0.1, 2017-12-23 15:44:25, GET, /MyApp/static/images/gplus-32.png, HTTP/1.1, 200, 0.002821
127.0.0.1, 2017-12-23 15:44:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.022308
127.0.0.1, 2017-12-23 15:44:47, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.308503
127.0.0.1, 2017-12-23 15:45:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.021186
127.0.0.1, 2017-12-23 15:45:47, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.308898
127.0.0.1, 2017-12-23 15:46:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.011132
127.0.0.1, 2017-12-23 15:46:50, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.784370
127.0.0.1, 2017-12-23 15:47:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019292
127.0.0.1, 2017-12-23 15:47:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.317879
127.0.0.1, 2017-12-23 15:48:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.010823
127.0.0.1, 2017-12-23 15:48:50, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.614206
127.0.0.1, 2017-12-23 15:49:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037585
127.0.0.1, 2017-12-23 15:49:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.339392
127.0.0.1, 2017-12-23 15:50:35, POST, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.021518
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/test/hello, HTTP/1.1, 200, 0.184690
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001792
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004208
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.008359
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/css/calendar.css, HTTP/1.1, 304, 0.007305
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/calendar.js, HTTP/1.1, 304, 0.005577
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/web2py.js, HTTP/1.1, 304, 0.002701
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.007410
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001952
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/jquery.js, HTTP/1.1, 304, 0.001310
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/js/share.js, HTTP/1.1, 304, 0.004811
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/images/facebook.png, HTTP/1.1, 304, 0.003543
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/images/twitter.png, HTTP/1.1, 304, 0.005872
127.0.0.1, 2017-12-23 15:50:41, GET, /MyApp/static/images/gplus-32.png, HTTP/1.1, 304, 0.002734
127.0.0.1, 2017-12-23 15:50:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.019489
127.0.0.1, 2017-12-23 15:50:50, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.719381
127.0.0.1, 2017-12-23 15:51:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.010222
127.0.0.1, 2017-12-23 15:51:50, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 2.833129
127.0.0.1, 2017-12-23 15:52:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.024756
127.0.0.1, 2017-12-23 15:52:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.368731
127.0.0.1, 2017-12-23 15:53:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.025395
127.0.0.1, 2017-12-23 15:53:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.329367
127.0.0.1, 2017-12-23 15:54:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.024046
127.0.0.1, 2017-12-23 15:54:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.335886
127.0.0.1, 2017-12-23 15:55:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.023448
127.0.0.1, 2017-12-23 15:55:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.375658
127.0.0.1, 2017-12-23 15:56:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.023714
127.0.0.1, 2017-12-23 15:56:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.308253
127.0.0.1, 2017-12-23 15:57:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.021436
127.0.0.1, 2017-12-23 15:57:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.323803
127.0.0.1, 2017-12-23 15:58:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.023459
127.0.0.1, 2017-12-23 15:58:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.373349
127.0.0.1, 2017-12-23 15:59:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.020632
127.0.0.1, 2017-12-23 15:59:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.318697
127.0.0.1, 2017-12-23 16:00:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.021710
127.0.0.1, 2017-12-23 16:00:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.312992
127.0.0.1, 2017-12-23 16:01:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.021325
127.0.0.1, 2017-12-23 16:01:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.364859
127.0.0.1, 2017-12-23 16:02:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.022043
127.0.0.1, 2017-12-23 16:02:48, GET, /MyApp/appadmin/hooks, HTTP/1.1, 200, 0.328133
127.0.0.1, 2017-12-23 19:23:12, GET, /, HTTP/1.1, 303, 0.001070
127.0.0.1, 2017-12-23 19:23:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.433844
127.0.0.1, 2017-12-23 19:23:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001685
127.0.0.1, 2017-12-23 19:23:13, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000968
